callNum,respTime
18005433,10.9
18005434,5.96666666675
18005434,5.96666666675
18005434,5.96666666675
18005434,5.96666666675
18005434,5.96666666675
18005434,5.96666666675
18005435,9.7916666665
18005435,9.7916666665
18005436,2.3
18005436,2.3
18005437,5.116666667
18005439,10.76666667
18005440,22.01666667
18005440,22.01666667
18005441,6.416666667
18005442,2.783333333333333
18005442,2.783333333333333
18005442,2.783333333333333
18005442,2.783333333333333
18005442,2.783333333333333
18005442,2.783333333333333
18005443,6.238888888999999
18005443,6.238888888999999
18005443,6.238888888999999
18005444,2.641666667
18005444,2.641666667
18005444,2.641666667
18005446,11.21666667
18005446,11.21666667
18005446,11.21666667
18005447,4.5033333334000005
18005447,4.5033333334000005
18005447,4.5033333334000005
18005447,4.5033333334000005
18005447,4.5033333334000005
18005447,4.5033333334000005
18005449,6.1083333335
18005449,6.1083333335
18005450,9.733333333
18005452,3.9722222220000005
18005452,3.9722222220000005
18005452,3.9722222220000005
18005452,3.9722222220000005
18005453,4.816666667
18005454,6.8
18005456,6.6166666665000005
18005456,6.6166666665000005
18005457,12.58333333
18005458,10.225000000000001
18005458,10.225000000000001
18005460,5.4666666665
18005460,5.4666666665
18005460,5.4666666665
18005461,11.73333333
18005462,6.166666666999999
18005462,6.166666666999999
18005463,7.8833333334999995
18005463,7.8833333334999995
18005465,15.15
18005466,10.38333333
18005467,4.7166666665
18005467,4.7166666665
18005469,29.0
18005470,4.083333333
18005470,4.083333333
18005471,8.366666667
18005472,4.949999999999999
18005472,4.949999999999999
18005472,4.949999999999999
18005472,4.949999999999999
18005474,14.016666668500001
18005474,14.016666668500001
18005475,4.908333333
18005475,4.908333333
18005476,5.233333333
18005477,4.25
18005477,4.25
18005478,14.55
18005478,14.55
18005479,0.0
18005479,0.0
18005479,0.0
18005480,4.0
18005483,5.025
18005483,5.025
18005484,7.55
18005484,7.55
18005485,11.48333333
18005486,3.6083333335
18005486,3.6083333335
18005487,7.266666667
18005490,6.966666667
18005491,3.325
18005491,3.325
18005491,3.325
18005492,4.433333333
18005492,4.433333333
18005493,4.233333333
18005494,5.833333333
18005495,6.6
18005495,6.6
18005497,11.1
18005498,6.1
18005498,6.1
18005499,4.594444444333333
18005499,4.594444444333333
18005499,4.594444444333333
18005500,8.083333333
18005501,5.066666667
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005502,4.55208333325
18005503,7.283333333
18005503,7.283333333
18005504,6.624999999
18005504,6.624999999
18005504,6.624999999
18005504,6.624999999
18005504,6.624999999
18005504,6.624999999
18005505,8.361111112333333
18005505,8.361111112333333
18005505,8.361111112333333
18005506,6.8666666665
18005506,6.8666666665
18005507,7.0083333329999995
18005507,7.0083333329999995
18005508,11.816666665
18005508,11.816666665
18005510,8.06111111
18005510,8.06111111
18005510,8.06111111
18005511,5.638888889
18005511,5.638888889
18005511,5.638888889
18005513,4.388888888666667
18005513,4.388888888666667
18005513,4.388888888666667
18005514,16.51666667
18005515,2.016666667
18005515,2.016666667
18005517,3.8
18005517,3.8
18005518,2.266666667
18005518,2.266666667
18005519,12.15
18005520,22.45
18005521,5.416666667
18005522,14.66666667
18005523,3.85
18005523,3.85
18005525,12.7833333335
18005525,12.7833333335
18005526,4.275
18005526,4.275
18005527,3.5666666664999997
18005527,3.5666666664999997
18005528,11.3
18005529,26.88333333
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005530,3.648148148111111
18005531,11.18333333
18005532,12.85
18005532,12.85
18005533,6.466666667
18005534,3.4
18005534,3.4
18005535,7.75
18005537,3.172222222333333
18005537,3.172222222333333
18005537,3.172222222333333
18005538,4.0
18005538,4.0
18005539,11.88333333
18005540,2.066666667
18005540,2.066666667
18005540,2.066666667
18005542,4.775
18005542,4.775
18005543,4.425
18005543,4.425
18005544,4.5
18005544,4.5
18005545,6.15
18005545,6.15
18005547,11.45
18005549,7.945833333500001
18005549,7.945833333500001
18005549,7.945833333500001
18005549,7.945833333500001
18005549,7.945833333500001
18005549,7.945833333500001
18005549,7.945833333500001
18005550,5.125
18005550,5.125
18005551,5.25
18005552,3.583333333
18005552,3.583333333
18005553,6.85
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005554,4.794444444444445
18005555,3.1777777776666665
18005555,3.1777777776666665
18005555,3.1777777776666665
18005556,3.8166666664999997
18005556,3.8166666664999997
18005557,5.8
18005557,5.8
18005558,5.783333333
18005558,5.783333333
18005559,14.51666667
18005560,9.983333333
18005561,10.96666667
18005562,3.966666667
18005562,3.966666667
18005562,3.966666667
18005563,6.25
18005563,6.25
18005564,7.975
18005564,7.975
18005565,7.083333333
18005567,4.5666666665
18005567,4.5666666665
18005568,1.2
18005568,1.2
18005569,5.958333333
18005569,5.958333333
18005570,3.5333333330000003
18005570,3.5333333330000003
18005571,3.6083333335
18005571,3.6083333335
18005572,7.641666668499999
18005572,7.641666668499999
18005573,3.6
18005573,3.6
18005574,5.2333333335
18005574,5.2333333335
18005574,5.2333333335
18005575,3.291666667
18005575,3.291666667
18005576,4.366666667
18005576,4.366666667
18005577,6.675000000000001
18005577,6.675000000000001
18005578,8.675
18005578,8.675
18005579,7.766666667
18005581,11.0
18005582,6.2416666665000005
18005582,6.2416666665000005
18005583,3.5444444446666665
18005583,3.5444444446666665
18005583,3.5444444446666665
18005584,6.333333333
18005584,6.333333333
18005586,11.725
18005586,11.725
18005587,16.1
18005588,8.141666667
18005588,8.141666667
18005589,5.541666666499999
18005589,5.541666666499999
18005590,6.177777778666667
18005590,6.177777778666667
18005590,6.177777778666667
18005591,4.65
