latitude,longitude,time,call_duration,call_type,respTime
1.219220564,1.070049253,-2.051463739,1.263663528,0,10.9
0.596997428,0.387759989,-2.033078388,-0.684452974,0,5.966666667
-0.170046386,0.172442965,-2.031025867,0.51242906,2,9.791666667
0.445337173,0.401940094,-2.022903123,-1.117367752,2,2.3
0.614620377,0.514472128,-2.026920824,0.716153662,0,5.116666667
-0.62361931,0.979463685,-2.011417737,-1.117367752,0,10.76666667
-0.81035787,0.231240678,-1.989582404,-1.117367752,0,22.01666667
0.596997428,0.387759989,-1.986219762,-1.117367752,0,6.416666667
-0.468238286,0.285767953,-1.948051599,-1.117367752,0,2.783333333
-1.518386288,-0.388317685,-1.939404807,-0.824513638,0,6.238888889
0.692114403,0.494782369,-1.933771291,-0.44253001,0,2.641666667
-0.921905325,-2.449399652,-1.921849198,0.206842158,0,11.21666667
-0.567112255,1.093333406,-1.913551772,0.054048707,0,4.503333333
0.712245305,1.119734304,-1.910014448,-0.200607045,0,6.108333334
-0.141933319,0.563362438,-1.901804362,-1.117367752,0,9.733333333
-1.906183246,-0.164641069,-1.871409578,0.448765122,0,3.972222222
0.596997428,0.387759989,-1.864116576,-1.117367752,0,4.816666667
0.875558933,0.236254558,-1.864291259,0.066781494,0,6.8
-0.035707897,0.175177908,-1.836997092,1.059938927,0,6.616666667
1.147229931,0.910259826,-1.835686972,2.065829147,0,12.58333333
0.430417127,1.012943133,-1.81987819,0.19410937,0,10.225
-0.874786333,-2.289526709,-1.813589614,-0.136943107,0,5.466666667
0.778067085,0.67625931,-1.804375103,-1.117367752,0,11.73333333
0.498419245,0.511369713,-1.802147899,0.907145476,0,6.166666667
-1.439421343,1.45767831,-1.792103646,0.092247069,0,7.883333333
-1.634739773,0.826169169,-1.757516477,-1.117367752,0,15.15
0.681847723,0.564254744,-1.754503201,-1.117367752,0,10.38333333
0.620421854,0.120848807,-1.713278091,0.525161848,0,4.716666667
-0.839672283,1.47077738,-1.712710372,0.958076626,0,29
0.029815739,-0.941185822,-1.695722483,-1.117367752,2,4.083333333
0.627022685,0.152102792,-1.685590888,1.874837333,0,8.366666667
0.549392641,1.014293474,-1.677511814,-0.315202134,0,4.95
0.761752269,-0.002647866,-1.661266326,3.606496446,0,14.01666667
0.286131856,-0.239589342,-1.644234766,0.130445432,0,4.908333333
0.631661044,0.47616385,-1.649300563,1.887570121,0,5.233333333
-0.267229521,0.761221434,-1.643929071,0.448765122,3,4.25
0.026573998,0.238689262,-1.64126516,0.51242906,0,14.55
-0.166948129,-0.259599971,-1.618032365,0.690688086,0,4
-0.079928119,-0.272580474,-1.568247805,0.359635609,0,5.025
0.027592322,-0.810404783,-1.550124478,-0.060546382,0,7.55
0.716977525,0.165306157,-1.54960043,0.856214325,0,11.48333333
1.338372979,-0.109148356,-1.54702386,0.818015962,0,3.608333334
0.507648122,0.582416524,-1.533136588,1.110870077,0,7.266666667
0.108593531,-0.955792051,-1.513397446,0.970809414,0,6.966666667
0.840245101,-0.017161033,-1.47308942,-1.117367752,0,3.325
0.324864105,0.45104973,-1.437628838,0.181376583,0,4.433333333
-0.211905441,0.02935804,-1.436799096,0.856214325,0,4.233333333
-1.165917306,-0.533367423,-1.429593436,-1.117367752,0,5.833333333
