20 pop, 500 gen
# config file
# configuration for neural network
nnet = dict(
    n_inputs = 4,
    n_h_neurons = 4,
    n_h_layers = 2,
    n_outputs = 2
)

# configuration for genetic algorithm
ga = dict(
    prob_xover  = 0.2,
    prob_mut    = 0.2,
    mut_ind     = 0.1
)

gen 	best fitness
0	124299.309661
1	124299.309661
2	124299.309661
3	121383.760165
4	121383.760165
5	117073.89682
6	112529.991189
7	112529.991189
8	112529.991189
9	106297.892584
10	105846.083322
11	105846.083322
12	105838.073553
13	104841.297411
14	104841.297411
15	104841.297411
16	104515.398627
17	104515.398627
18	104167.890026
19	104167.890026
20	104167.890026
21	102945.095108
22	102875.177391
23	102875.177391
24	102844.573761
25	102844.573761
26	102680.128374
27	102596.795825
28	101749.601901
29	101749.601901
30	101651.063166
31	101651.063166
32	101651.063166
33	101651.063166
34	101343.394955
35	101108.174019
36	101108.174019
37	101089.124793
38	101089.124793
39	101064.016389
40	101064.016389
41	101064.016389
42	101064.016389
43	101064.016389
44	101064.016389
45	101064.016389
46	101033.438572
47	101033.438572
48	101033.438572
49	101033.438572
50	101033.438572
51	101033.438572
52	101033.438572
53	101033.438572
54	101009.622622
55	101009.622622
56	101009.622622
57	101009.622622
58	101009.622622
59	100987.549334
60	100966.912959
61	100966.912959
62	100966.912959
63	100966.912959
64	100966.912959
65	100782.648239
66	100782.648239
67	100782.648239
68	100682.163894
69	100682.163894
70	100682.163894
71	100682.163894
72	100682.163894
73	100667.365206
74	100616.693718
75	100616.693718
76	100616.693718
77	100548.711951
78	100548.711951
79	100548.711951
80	100548.711951
81	100484.908147
82	100425.480772
83	100230.005807
84	100230.005807
85	100157.118802
86	100157.118802
87	100145.035861
88	100025.943286
89	100015.614509
90	100015.614509
91	100015.614509
92	99956.269632
93	99956.269632
94	99956.269632
95	99925.5379358
96	99916.8213855
97	99916.8213855
98	99916.8213855
99	99916.8213855
100	99843.3738287
101	99807.4296159
102	99784.5527139
103	99770.1576454
104	99770.1576454
105	99718.3356465
106	99718.3356465
107	99718.3356465
108	99569.146418
109	99569.146418
110	99569.146418
111	99564.2908665
112	99564.2908665
113	99563.6060355
114	99545.8706955
115	99371.1549518
116	99371.1549518
117	99371.1549518
118	99371.1549518
119	99369.5451445
120	99369.5451445
121	99369.1886694
122	99255.3841278
123	99255.3841278
124	99255.3841278
125	99255.01152
126	99255.01152
127	99255.01152
128	99255.01152
129	99255.01152
130	99255.01152
131	99254.6643133
132	99254.6643133
133	99210.929038
134	99210.929038
135	99205.5016777
136	99205.5016777
137	99205.5016777
138	99205.5016777
139	99167.186402
140	99141.0409681
141	99141.0409681
142	99141.0409681
143	99141.0409681
144	99133.7389191
145	99133.7389191
146	99120.0836308
147	99114.361055
148	99097.055277
149	99097.055277
150	99097.055277
151	98949.4458728
152	98949.4458728
153	98949.4458728
154	98949.4458728
155	98933.820591
156	98933.820591
157	98922.7267231
158	98922.7267231
159	98922.7267231
160	98922.1415262
161	98901.5433765
162	98901.5433765
163	98901.5433765
164	98901.5433765
165	98901.5433765
166	98886.5052357
167	98886.5052357
168	98840.4911079
169	98840.4911079
170	98840.4911079
171	98817.2320484
172	98735.4092462
173	98735.4092462
174	98735.4092462
175	98685.8957505
176	98685.8957505
177	98685.8957505
178	98685.8957505
179	98658.6970181
180	98658.6970181
181	98658.6970181
182	98658.6970181
183	98658.6970181
184	98658.6936023
185	98651.7883427
186	98651.7883427
187	98651.7883427
188	98651.7883427
189	98651.7883427
190	98651.7883427
191	98651.7883427
192	98628.0254989
193	98600.9360692
194	98600.9360692
195	98600.93439
196	98597.1437105
197	98597.1437105
198	98597.1437105
199	98597.1437105
200	98597.1437105
201	98597.1437105
202	98571.8639346
203	98571.8639346
204	98571.8639346
205	98571.8639346
206	98571.8124097
207	98551.9624811
208	98551.9624811
209	98434.1218144
210	98434.1218144
211	98434.1218144
212	98406.1384568
213	98329.4793465
214	98329.4793465
215	98329.4793465
216	98245.4663799
217	98245.4663799
218	98245.4663799
219	98245.4663799
220	98245.4663799
221	98243.1808557
222	98243.1808557
223	98243.1808557
224	98225.0825173
225	98225.0825173
226	98191.0840738
227	98191.0840738
228	98185.6231954
229	98157.6500165
230	98157.6500165
231	98157.6500165
232	98157.6500165
233	98157.6500165
234	98157.6500165
235	98157.6500165
236	98157.6500165
237	98157.6500165
238	98140.6609702
239	98140.6609702
240	98125.8286787
241	98125.8286787
242	98125.8286787
243	98125.8286787
244	98125.8286787
245	98125.8286787
246	98125.8286787
247	98125.8286787
248	98121.9751493
249	98121.9751493
250	98121.9751493
251	98118.0656042
252	98118.0656042
253	98118.0656042
254	98086.4169568
255	98077.1149779
256	98077.1149779
257	98077.1149779
258	98077.1149779
259	98077.1149779
260	98077.1149779
261	98044.0636698
262	98044.0636698
263	98044.0636698
264	98044.0636698
265	98044.0636698
266	98044.0636698
267	98044.0636698
268	98044.0636698
269	98044.0636698
270	98044.0636698
271	98044.0636698
272	98044.0636698
273	98036.5825385
274	98026.2311818
275	98026.2311818
276	97969.1028108
277	97969.1028108
278	97969.1028108
279	97967.0707826
280	97967.0707826
281	97967.0707826
282	97967.0707826
283	97967.0707826
284	97873.5819966
285	97873.5819966
286	97873.5819966
287	97871.6769161
288	97871.6769161
289	97871.6769161
290	97871.6769161
291	97871.6769161
292	97871.6769161
293	97871.6769161
294	97871.6769161
295	97871.6769161
296	97871.6769161
297	97871.6769161
298	97871.6769161
299	97871.6769161
300	97871.6769161
301	97871.6769161
302	97871.6769161
303	97871.6769161
304	97871.6769161
305	97871.6769161
306	97871.6754022
307	97871.6754022
308	97871.6754022
309	97871.6358044
310	97861.8652072
311	97861.8652072
312	97861.8652072
313	97861.8652072
314	97861.8652072
315	97861.8652072
316	97861.8652072
317	97861.8652072
318	97861.8652072
319	97861.8652072
320	97861.8652072
321	97861.8652072
322	97861.8652072
323	97855.4538799
324	97855.4538799
325	97855.4538799
326	97855.4538799
327	97855.4538799
328	97855.4538799
329	97855.4538799
330	97855.4538799
331	97837.8774302
332	97837.8774302
333	97837.8774302
334	97837.8774302
335	97835.1342092
336	97835.1342092
337	97796.4115449
338	97774.8156705
339	97774.8156705
340	97756.891662
341	97756.891662
342	97756.891662
343	97756.891662
344	97756.891662
345	97754.7426363
346	97754.7426363
347	97754.7426363
348	97692.3053285
349	97692.3053285
350	97692.3053285
351	97692.3053285
352	97692.3053285
353	97692.3053285
354	97692.3053285
355	97666.8334549
356	97666.8334549
357	97666.8334549
358	97666.8334549
359	97666.8334549
360	97655.060272
361	97655.060272
362	97634.3823261
363	97622.7563957
364	97622.7563957
365	97622.755704
366	97622.755704
367	97622.755704
368	97575.6281866
369	97538.1324163
370	97538.1324163
371	97538.1324163
372	97538.1324163
373	97538.1324163
374	97538.1324163
375	97538.1324163
376	97538.1324163
377	97538.1324163
378	97538.1324163
379	97537.3997466
380	97537.3997466
381	97537.3997466
382	97537.3997466
383	97537.3997466
384	97537.3997466
385	97537.3997466
386	97537.3997466
387	97425.2261139
388	97425.2261139
389	97412.1048687
390	97412.1048687
391	97412.1048687
392	97412.1048687
393	97412.1048687
394	97412.1048687
395	97412.1048687
396	97412.1048687
397	97412.1048687
398	97412.1048687
399	97373.3569261
400	97373.3569261
401	97373.3569261
402	97373.3569261
403	97373.1641862
404	97373.1641862
405	97373.1641862
406	97373.1641862
407	97373.1641862
408	97373.1641862
409	97373.1641862
410	97373.1641862
411	97334.3782586
412	97334.3782586
413	97334.3782586
414	97302.2698073
415	97302.2698073
416	97302.2698073
417	97302.2698073
418	97302.2698073
419	97302.2698073
420	97302.2698073
421	97273.6255912
422	97273.6255912
423	97273.6255912
424	97273.6255912
425	97273.6255912
426	97273.6255912
427	97270.1604119
428	97270.1604119
429	97270.1604119
430	97270.1604119
431	97270.1604119
432	97257.338395
433	97257.338395
434	97257.338395
435	97257.338395
436	97257.338395
437	97254.9845579
438	97254.9845579
439	97254.9845579
440	97254.9845579
441	97254.9845579
442	97254.9845579
443	97254.9845579
444	97254.9845579
445	97254.9845579
446	97254.9845579
447	97254.9845579
448	97254.9845579
449	97254.9845579
450	97254.9845579
451	97254.9845579
452	97254.9845579
453	97254.9845579
454	97254.9845579
455	97247.0325111
456	97247.0325111
457	97247.0325111
458	97247.0325111
459	97247.0325111
460	97247.0325111
461	97247.0325111
462	97247.0325111
463	97247.0325111
464	97247.0325111
465	97247.0325111
466	97247.0325111
467	97247.0325111
468	97247.0325111
469	97247.0325111
470	97246.1212665
471	97246.1212665
472	97246.1212665
473	97229.711874
474	97229.711874
475	97228.7318631
476	97228.7318631
477	97228.7318631
478	97205.4127775
479	97205.4127775
480	97205.4127775
481	97205.4127775
482	97196.6825578
483	97196.6825578
484	97196.6825578
485	97196.6825578
486	97194.7263471
487	97191.8257444
488	97191.8257444
489	97191.8257444
490	97191.8257444
491	97191.6102191
492	97191.6102191
493	97191.6102191
494	97191.6102191
495	97178.3096378
496	97178.3096378
497	97159.0230409
498	97159.0230409
499	97159.0230409

 best individual:
