10 pop, 1000 gen
# config file
# configuration for neural network
nnet = dict(
    n_inputs = 4,
    n_h_neurons = 4,
    n_h_layers = 2,
    n_outputs = 2
)

# configuration for genetic algorithm
ga = dict(
    prob_xover  = 0.2,
    prob_mut    = 0.2,
    mut_ind     = 0.1
)

gen 	best fitness
0	164878.752821
1	164878.752821
2	164878.752821
3	164878.752821
4	164878.752821
5	164878.752821
6	164878.752821
7	152248.755648
8	152248.755648
9	145773.897568
10	136769.286636
11	136769.286636
12	129695.815585
13	129695.815585
14	129695.815585
15	129695.815585
16	129695.815585
17	129695.815585
18	121875.281328
19	121875.281328
20	120664.993881
21	120664.993881
22	116022.700859
23	116022.700859
24	114865.727443
25	114865.727443
26	113356.305955
27	113356.305955
28	113356.305955
29	113356.305955
30	112908.708855
31	109010.168754
32	109010.168754
33	109010.168754
34	107760.043501
35	107550.502213
36	107550.502213
37	107550.502213
38	107550.502213
39	107550.502213
40	107550.502213
41	107550.502213
42	105846.67538
43	105846.67538
44	105846.67538
45	105831.750642
46	105831.750642
47	105831.750642
48	105831.750642
49	105831.750642
50	105831.750642
51	105831.750642
52	104357.524147
53	104357.524147
54	104357.524147
55	104353.155714
56	104353.155714
57	104353.155714
58	104353.155714
59	104353.155714
60	103652.063499
61	103652.063499
62	103652.063499
63	103652.063499
64	103643.204067
65	103623.287373
66	103623.287373
67	103194.330107
68	103194.330107
69	103194.330107
70	103194.330107
71	103194.330107
72	103194.330107
73	103194.330107
74	103194.330107
75	103194.330107
76	103194.330107
77	103194.330107
78	103194.330107
79	102895.316083
80	102895.316083
81	102895.316083
82	102895.316083
83	102895.316083
84	102893.05937
85	102785.437794
86	102785.437794
87	102785.437794
88	102769.141908
89	102769.141908
90	102769.141908
91	102769.141908
92	102709.678681
93	102709.678681
94	102709.678681
95	102709.678681
96	102709.678681
97	102709.678681
98	102709.678681
99	102709.678681
100	102709.678681
101	102709.678681
102	102517.283806
103	102425.764459
104	102425.764459
105	102425.764459
106	102425.764459
107	102025.425499
108	101701.406218
109	101701.406218
110	101701.406218
111	101701.406218
112	101701.406218
113	101655.675969
114	101655.675969
115	101655.675969
116	101268.624642
