20 pop, 500 gen
# config file
# configuration for neural network
nnet = dict(
    n_inputs = 4,
    n_h_neurons = 4,
    n_h_layers = 2,
    n_outputs = 2
)

# configuration for genetic algorithm
ga = dict(
    prob_xover  = 0.2,
    prob_mut    = 0.2,
    mut_ind     = 0.1
)

gen 	best fitness
0	150348.537266
1	150348.537266
2	150348.537266
3	150348.537266
4	126549.964114
5	125953.25294
6	124737.460073
7	124737.460073
8	124737.460073
9	118516.770838
10	118516.770838
11	118516.770838
12	110790.160456
13	110790.160456
14	106795.979659
15	106795.979659
16	106795.979659
17	106795.979659
18	105411.062094
19	105411.062094
20	105411.062094
21	105059.648742
22	105059.648742
23	104975.079119
24	104897.295353
25	104897.295353
26	104531.205904
27	104461.05108
28	104366.316462
29	104323.783297
30	104323.783297
31	102357.530572
32	102357.530572
33	102357.530572
34	102357.530572
35	102199.448464
36	102199.448464
37	101805.169286
38	101805.169286
39	101805.169286
40	101805.169286
41	101417.960091
42	101417.960091
43	101417.960091
44	101272.462684
45	101272.462684
46	101272.462684
47	100874.045257
48	100742.355697
49	100742.355697
50	100742.355697
51	100742.355697
52	100742.355697
53	100656.678142
54	100656.678142
55	100656.678142
56	100454.789351
57	100454.789351
58	100454.789351
59	100454.789351
60	100429.197108
61	100429.197108
62	100429.197108
63	100151.722043
64	100151.722043
65	100151.722043
66	100151.722043
67	100151.513871
68	100151.513871
69	100056.195156
70	99964.0769392
71	99964.0769392
72	99964.0769392
73	99964.0769392
74	99964.0769392
75	99964.0769392
76	99964.0769392
77	99964.0769392
78	99946.6814427
79	99946.6814427
80	99946.6814427
81	99946.6814427
82	99917.5083915
83	99917.5083915
84	99917.5083915
85	99850.4944205
86	99792.1033549
87	99792.1033549
88	99792.1033549
89	99792.1033549
90	99792.1033549
91	99792.1033549
92	99792.1033549
93	99790.9699564
94	99776.8317599
95	99776.8317599
96	99776.8317599
97	99776.8317599
98	99656.25508
99	99656.25508
100	99656.25508
101	99656.25508
102	99656.25508
103	99505.6921416
104	99505.6921416
105	99502.0339306
106	99502.0339306
107	99502.0339306
108	99502.0339306
109	99374.2347017
110	99374.2347017
111	99374.2347017
112	99374.2347017
113	99374.2347017
114	99374.2347017
115	99353.9371326
116	99353.9371326
117	99353.9371326
118	99353.9371326
119	99353.9371326
120	99349.0270338
121	99349.0270338
122	99349.0270338
123	99309.5069001
124	99309.5069001
125	99309.5069001
126	99309.5069001
127	99309.5069001
128	99303.0255007
129	99301.1104576
130	99211.9660404
131	99211.9660404
132	99190.1876611
133	99190.1876611
134	99048.4011159
135	99048.4011159
136	99032.4268472
137	99032.4268472
138	99032.4268472
139	99032.4268472
140	99032.4268472
141	99032.4268472
142	99032.4268472
143	99032.4268472
144	99032.4268472
145	99032.4268472
146	99032.4268472
147	99032.4268472
148	99032.4268472
149	99032.4268472
150	99032.4268472
151	99030.2051745
152	99019.886783
153	99015.3667849
154	99015.3667849
155	99015.3667849
156	99008.4643078
157	99008.4643078
158	98981.7589031
159	98981.7589031
160	98981.7589031
161	98981.602968
162	98981.602968
163	98962.0399995
164	98962.0399995
165	98962.0399995
166	98962.0399995
167	98932.7300994
168	98932.7300994
169	98899.1109246
170	98899.1109246
171	98886.5250068
172	98877.0583256
173	98877.0583256
174	98877.0583256
175	98877.0583256
176	98868.2473339
177	98868.2473339
178	98868.2473339
179	98868.2473339
180	98868.2473339
181	98823.3194304
182	98823.3194304
183	98823.3194304
184	98823.3194304
185	98823.3194304
186	98800.2924176
187	98785.2872934
188	98785.2872934
189	98785.2872934
190	98785.2872934
191	98785.2872934
192	98785.2872934
193	98785.2872934
194	98785.2872934
195	98785.2872934
196	98785.2872934
197	98785.2872934
198	98764.3688984
199	98764.3688984
200	98764.3688984
201	98724.8751798
202	98724.8751798
203	98724.8751798
204	98724.8751798
205	98724.8751798
206	98724.8751798
207	98724.8751798
208	98724.8751798
209	98724.8751798
210	98724.8751798
211	98724.8751798
212	98724.8751798
213	98724.8751798
214	98724.8751798
215	98724.8751798
216	98724.8449905
217	98724.8449905
218	98724.8449905
219	98724.8449905
220	98724.8449905
221	98724.8449905
222	98724.8449905
223	98724.8449905
224	98724.8449905
225	98724.8449905
226	98724.8449905
227	98724.8449905
228	98717.7692539
229	98717.7692539
230	98677.3139627
231	98677.3139627
232	98639.2845004
233	98639.2845004
234	98589.4243554
235	98589.4243554
236	98589.4243554
