10 pop, 1000 gen
# config file
# configuration for neural network
nnet = dict(
    n_inputs = 4,
    n_h_neurons = 4,
    n_h_layers = 2,
    n_outputs = 2
)

# configuration for genetic algorithm
ga = dict(
    prob_xover  = 0.2,
    prob_mut    = 0.2,
    mut_ind     = 0.1
)

gen 	best fitness
0	175246.281496
1	175246.281496
2	175246.281496
3	175246.281496
4	175246.281496
5	175246.281496
6	175246.281496
7	175246.281496
8	175246.281496
9	175246.281496
10	175246.281496
11	142447.065239
12	142447.065239
13	142447.065239
14	142447.065239
15	137129.757243
16	137129.757243
17	137129.757243
18	137129.757243
19	132658.235905
20	131325.196889
21	131325.196889
22	124698.801291
23	124698.801291
24	124698.801291
25	124698.801291
26	117956.428531
27	117956.428531
28	117280.336563
29	117280.336563
30	115090.51064
31	115024.681298
32	115024.681298
33	115024.681298
34	114267.070506
35	114267.070506
36	114267.070506
37	114267.070506
38	114267.070506
39	114267.070506
40	114267.070506
41	114267.070506
42	114267.070506
43	114267.070506
44	113937.641038
45	113765.827343
46	113765.827343
47	113765.827343
48	112179.451394
49	112179.451394
50	111928.166371
51	111928.166371
52	111743.061143
53	108992.807916
54	108992.807916
55	107479.647591
56	107479.647591
57	107479.647591
58	107479.647591
59	107479.647591
60	107479.647591
61	107479.647591
62	102800.87493
63	102800.87493
64	102800.87493
65	102800.87493
66	102739.791108
67	102739.791108
68	102282.593695
69	102282.593695
70	102282.593695
71	102282.593695
72	102282.593695
73	102282.593695
74	102282.593695
75	102282.593695
76	102282.593695
77	102279.231682
78	102279.231682
79	102279.231682
80	102228.983138
81	102228.983138
82	102228.983138
83	102228.983138
84	102228.983138
85	102228.983138
86	102228.983138
87	102228.983138
88	102228.983138
89	102228.983138
90	102228.983138
91	102228.983138
92	102228.983138
93	102228.983138
94	102228.983138
95	102228.983138
96	102106.950999
97	102106.950999
98	102106.950999
99	102106.950999
100	102106.950999
101	102106.950999
102	102106.950999
103	102106.950999
104	102106.950999
105	101708.872648
106	101708.872648
107	101708.872648
108	101708.872648
109	101708.872648
110	101706.298815
111	101516.424987
112	101516.424987
113	101516.424987
114	101516.424987
115	101516.424987
116	101516.424987
117	101516.424987
118	101516.424987
119	101516.424987
120	101516.424987
121	101325.079983
122	101103.451346
123	101037.56019
124	101037.56019
125	101037.56019
126	101037.56019
127	101037.56019
128	100955.219788
129	100955.219788
130	100891.197574
131	100891.197574
132	100891.197574
133	100891.197574
134	100891.197574
135	100891.197574
136	100891.197574
137	100891.197574
138	100891.197574
139	100891.197574
140	100891.197574
141	100891.197574
142	100891.197574
143	100891.197574
144	100891.197574
145	100891.197574
146	100474.874766
147	100474.874766
148	100474.874766
149	100390.257437
150	100390.257437
151	100390.257437
152	100390.257437
153	100390.257437
154	100346.248282
155	100346.248282
156	100346.248282
157	100346.248282
158	100346.248282
159	100346.248282
160	100303.858538
161	100189.0365
162	100189.0365
163	100189.0365
164	100189.0365
165	100189.0365
166	100189.0365
167	100189.0365
168	100189.0365
169	100189.0365
170	100189.0365
171	100189.0365
172	100189.0365
173	100189.0365
174	100189.0365
175	100189.0365
176	100189.0365
177	100189.0365
178	100189.0365
179	100189.0365
180	100153.825966
181	100153.825966
182	100153.825966
183	100153.825966
184	100153.825966
185	100153.825966
186	100153.825966
187	100153.825966
188	100153.825966
189	100153.825966
190	99848.0181647
191	99848.0181647
192	99848.0181647
193	99848.0181647
194	99848.0181647
195	99717.8679443
196	99717.8679443
197	99717.8679443
198	99717.8679443
199	99717.8679443
200	99717.8679443
201	99672.4486514
202	99672.4486514
203	99672.4486514
204	99672.4486514
205	99672.4486514
206	99672.4486514
207	99672.4486514
208	99672.4486514
209	99667.6311005
210	99667.6311005
211	99667.6311005
212	99667.6311005
213	99667.6311005
214	99667.6311005
215	99667.6311005
216	99667.6311005
217	99667.6311005
218	99667.6311005
219	99667.6311005
220	99667.6311005
221	99667.6311005
222	99667.6311005
223	99667.6311005
224	99667.6311005
225	99667.6311005
226	99667.6311005
227	99633.634179
228	99633.634179
229	99633.634179
230	99630.3332245
231	99630.3332245
232	99625.7620912
233	99625.7620912
234	99415.9644057
235	99415.9644057
236	99415.9644057
237	99415.9644057
238	99415.9644057
239	99415.9644057
240	99415.9644057
241	99415.9644057
242	99415.9644057
243	99415.9644057
244	99415.9644057
245	99415.9644057
246	99415.9644057
247	99415.9644057
248	99415.9644057
249	99415.9644057
250	99415.9644057
251	99415.9644057
252	99332.4848354
253	99332.4848354
254	99332.4848354
255	99332.4848354
256	99332.4848354
257	99332.4848354
258	99332.4848354
259	99332.4848354
260	99332.4848354
261	99239.1493861
262	99239.1493861
263	99239.1493861
264	99239.1493861
265	99112.4295206
266	99078.9635716
267	99078.9635716
268	99078.9635716
269	99078.9635716
270	99078.9635716
271	99078.9635716
272	99078.9635716
273	99078.9635716
274	99078.9635716
275	99078.9635716
276	99078.9635716
277	99078.9635716
278	99078.9635716
279	99078.9635716
280	99078.9635716
281	99078.9635716
282	99078.9635716
283	99078.9635716
284	99078.9635716
285	99078.9635716
286	99078.9635716
287	99078.9635716
288	99078.9635716
289	99078.9635716
290	99078.8508584
291	99078.8508584
292	99078.8508584
293	99078.8508584
294	99078.8508584
295	99078.8508584
296	99078.8508584
297	99078.8508584
298	99078.8508584
299	99078.8508584
300	99078.8508584
301	99078.8508584
302	99078.8508584
303	99078.8508584
304	99040.2314044
305	99040.2314044
306	99040.2314044
307	99040.2314044
308	99040.2314044
309	99040.2314044
310	99040.2314044
311	99040.2314044
312	99040.2314044
313	99040.2314044
314	99040.2314044
315	99015.8920882
316	99015.8920882
317	99015.8920882
318	99015.8920882
319	98992.1450898
320	98992.1450898
321	98992.1450898
322	98992.1450898
323	98992.1450898
324	98992.1450898
325	98992.1450898
326	98992.1450898
327	98992.1450898
328	98992.1450898
329	98992.1450898
330	98992.1450898
331	98992.1450898
332	98992.1450898
333	98992.1450898
334	98992.1450898
335	98992.1450898
336	98992.1450898
337	98992.1450898
338	98992.1450898
339	98992.1450898
340	98992.1450898
341	98992.1450898
342	98992.1450898
343	98992.1450898
344	98992.1450898
345	98992.1450898
346	98992.1450898
347	98992.1450898
348	98992.1450898
349	98992.1450898
350	98992.1450898
351	98992.1450898
352	98992.1450898
353	98992.1450898
354	98992.1450898
355	98992.1450898
356	98992.1450898
357	98992.1450898
358	98992.1450898
359	98992.1450898
360	98992.1450898
361	98992.1450898
362	98992.1450898
363	98992.1450898
364	98992.1450898
365	98992.1450898
366	98992.1450898
367	98992.1450898
368	98992.1450898
369	98992.1450898
370	98992.1450898
371	98992.1450898
372	98992.1450898
373	98992.1450898
374	98992.1450898
375	98992.1450898
376	98992.1450898
377	98992.1450898
378	98992.1450898
379	98992.1450898
380	98992.1450898
381	98992.1450898
382	98992.1450898
383	98992.1450898
384	98992.1450898
385	98992.1450898
386	98992.1450898
387	98992.1450898
388	98992.1450898
389	98992.1450898
390	98992.1450898
391	98992.1450898
392	98992.1450898
393	98992.1450898
394	98992.1450898
395	98992.1450898
396	98992.1450898
397	98992.1450898
398	98992.1450898
399	98992.1450898
400	98977.438818
401	98977.438818
402	98977.438818
403	98977.438818
404	98977.438818
405	98977.438818
406	98977.438818
407	98977.438818
408	98966.2658793
409	98966.2658793
410	98965.8887133
411	98965.8887133
412	98965.8887133
413	98965.8887133
414	98965.7721558
415	98965.7721558
416	98965.7721558
417	98965.7721558
418	98965.1100848
419	98965.1100848
420	98965.1100848
421	98965.1100848
422	98965.1100848
423	98904.9664297
424	98904.9664297
425	98904.9664297
426	98904.9664297
427	98904.9664297
428	98904.9664297
429	98904.9664297
430	98904.9664297
431	98904.9664297
432	98904.9664297
433	98904.9664297
434	98904.9664297
435	98904.9664297
436	98904.9664297
437	98904.9664297
438	98904.9664297
439	98904.9664297
440	98904.9664297
441	98904.9664297
442	98904.9664297
443	98904.9664297
444	98904.9664297
445	98902.0812055
446	98902.0812055
447	98902.0812055
448	98902.0812055
449	98902.0812055
450	98859.3231706
451	98859.3231706
452	98859.3231706
453	98859.3231706
454	98844.7419513
455	98844.7419513
456	98844.7419513
457	98844.7419513
458	98844.7419513
459	98844.7419513
460	98844.7419513
461	98844.7419513
462	98844.7419513
463	98844.7419513
464	98844.7419513
465	98844.7419513
466	98844.7419513
467	98844.7419513
468	98844.7419513
469	98844.7419513
470	98844.7419513
471	98844.723536
472	98844.723536
473	98844.723536
474	98844.723536
475	98844.723536
476	98844.723536
477	98833.0713353
478	98833.0713353
479	98833.0713353
480	98833.0713353
481	98833.0713353
482	98832.2344074
483	98832.2344074
484	98824.1527004
485	98804.7221172
486	98804.7221172
487	98804.7221172
488	98804.7221172
489	98804.7221172
490	98804.7221172
491	98804.7221172
492	98804.7221172
493	98804.7221172
494	98804.7221172
495	98804.7221172
496	98804.7221172
497	98804.7221172
498	98804.7221172
499	98804.7221172
500	98804.7221172
501	98804.7221172
502	98804.7221172
503	98804.7221172
504	98804.7221172
505	98804.7221172
506	98804.7221172
507	98804.7221172
508	98804.7221172
509	98804.7221172
510	98804.7221172
511	98804.7221172
512	98804.7221172
513	98803.0629128
514	98803.0629128
515	98803.0629128
516	98803.0629128
517	98803.0629128
518	98803.0629128
519	98803.0629128
520	98803.0629128
521	98803.0629128
522	98803.0629128
523	98803.0629128
524	98803.0629128
525	98803.0629128
526	98803.0629128
527	98803.0629128
528	98803.0629128
529	98803.0629128
530	98803.0629128
531	98803.0629128
532	98754.6533604
533	98754.6533604
534	98754.6533604
535	98754.6533604
536	98754.6533604
537	98754.6533604
538	98754.6533604
539	98754.6533604
540	98754.6533604
541	98754.6533604
542	98754.6533604
543	98754.6533604
544	98744.8105712
545	98744.8105712
546	98728.6503295
547	98728.6503295
548	98728.6503295
549	98728.6503295
550	98728.6503295
551	98728.6503295
552	98728.6503295
553	98728.6503295
554	98728.6503295
555	98728.6503295
556	98728.6503295
557	98728.6503295
558	98728.6503295
559	98728.6503295
560	98728.6503295
561	98728.6503295
562	98728.6503295
563	98728.6503295
564	98728.6503295
565	98693.226698
566	98693.226698
567	98693.226698
568	98683.1774103
569	98683.1774103
570	98683.1774103
571	98683.1774103
572	98683.1774103
573	98683.1774103
574	98683.1774103
575	98683.1774103
576	98683.1774103
577	98683.1774103
578	98683.1774103
579	98683.1774103
580	98683.1774103
581	98683.1774103
582	98683.1774103
583	98683.1774103
584	98683.1774103
585	98683.1774103
586	98683.1774103
587	98683.1774103
588	98683.1774103
589	98683.1774103
590	98683.1774103
591	98683.1774103
592	98683.1774103
593	98683.1774103
594	98683.1774103
595	98683.1774103
596	98683.1774103
597	98683.1774103
598	98673.3563844
599	98673.3563844
600	98650.3499236
601	98650.3499236
602	98643.0942029
603	98643.0942029
604	98643.0942029
605	98643.0942029
606	98643.0942029
607	98643.0942029
608	98643.0942029
609	98643.0942029
610	98643.0942029
611	98643.0942029
612	98643.0942029
613	98643.0942029
614	98643.0942029
615	98643.0942029
616	98643.0942029
617	98643.0942029
618	98643.0942029
619	98643.0942029
620	98643.0942029
621	98643.0942029
622	98643.0942029
623	98643.0942029
624	98643.0942029
625	98643.0942029
626	98643.0942029
627	98643.0942029
628	98643.0942029
629	98643.0942029
630	98643.0942029
631	98643.0942029
632	98643.0942029
633	98643.0942029
634	98643.0942029
635	98643.0942029
636	98643.0942029
